Work Order,W/O Target Qty,SEQ,Process Name,Pass Qty,Fail Qty,ReTest Pass,ReTest Fail,Repass Qty,Refail Qty,FPY%,ReTest Rate%,Final Yield%,Group1,Group2,Group3,Group4,Customer,spec1
16026813,5760,19,3325_SSD Final VI,1,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026830,8208,18,3250_SSD Final Test,1,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026830,8208,19,3325_SSD Final VI,8,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,6,1170_Router,890,3,0,0,0,0,99.66 %,100 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,7,3210_SSD MST Initialization,894,2,44,6,28,0,99.78 %,-200 %,99.33 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,10,3230_SSD MP Initialization,4144,19,1,28,9,0,99.54 %,-47.37 %,99.33 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,12,3280_SSD PowerConsumption,4151,4,4,1,1,0,99.9 %,75 %,99.98 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,14,3270_SSD Speed Test,4127,4,7,0,1,0,99.9 %,100 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,16,3240_SSD Integration Test,4059,13,18,0,2,0,99.68 %,100 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,18,3250_SSD Final Test,4147,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,19,3325_SSD Final VI,4534,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026832,4100,7,3210_SSD MST Initialization,0,0,89,6,38,0,0 %,0 %,0 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
16026832,4100,10,3230_SSD MP Initialization,5,21,252,41,28,18,19.23 %,-95.24 %,-57.69 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
